,Title,Price,Rating,Store,Reviews,shipping,Positive Feedback %,Image,Link,Location,Returns
0,"Finding Dory 3 Pc Lip Gloss With Zippered Tin, BubbleGum and Watermelon Flavor",$10.99,,ritztrea_74,90,+$5.97 delivery,95.5,https://i.ebayimg.com/images/g/LEcAAOSwrbNnSpI4/s-l500.webp,https://www.ebay.com/itm/375829113349?_skw=lip_gloss&itmmeta=01KQEGMHT0MJ5A9JD27HVX3J7F&hash=item5781292a05:g:LEcAAOSwrbNnSpI4&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xBPV6dJAKFxxVKG2HnExvrBPdevsjyDLgsiKIVvsMCbAhY63EYtTWvEq1ARz1YVCQO6NcFrgSbjrMb5tX89dyuoWLtwn9B%2BPN1zgydSMPi4Tz43qb7YTvaCDLXmpC0po17Q79iWqJXlRZHZc0Mob0gEl37PzzYdNq2%2BMl5DGUkmRL1kZCem%2FuicSZL5X1Rd1bjDiA1wnAe8YBEgxid13%2FKdSKhYmWB21P8YAeZBx84lKQ%3D%3D%7Ctkp%3ABlBMUJ6d0tC7Zw,Located in United States,
1,Crabtree & Evelyn Three (3) Lip Gloss Butter Gift Set Box NEW,$29.99,,evelyns*closet,1900,Free delivery,98.9,https://i.ebayimg.com/images/g/pGkAAeSwCFZo29zi/s-l500.webp,https://www.ebay.com/itm/317353130394?_skw=lip_gloss&itmmeta=01KQEGMHT1QBZ6CAKQSKEGFQE5&hash=item49e3b8799a:g:pGkAAeSwCFZo29zi&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xASpOeNWyGebOIa1YjoE%2BerM3XFrqz1HTemd2eod%2B%2B6Mka6eU1pIl6HWGVYrIt3I2SjnBNHQmhVKClMxLVRdkhNVjPmdxoCTAWMOXscoK0ZxiJulYGxiYiGAkFcPKrhQyuc745mLuvjM4uEEpILKNxAtbuK4uQ%2BMiR7jRlQNltAQjkfZtHd%2FyZn7SZpA6aCBdEfII1s3Cq0gfA0Jbo77qJ9XkofVmDOygtudlCDYqiajQ%3D%3D%7Ctkp%3ABlBMUJ6d0tC7Zw,Located in United States,
2,Uey Beauty Signature Lipgloss,$10.00,,ueybeauty1,0,+$6.58 delivery,0.0,https://i.ebayimg.com/images/g/ONQAAeSwb5xp09Cy/s-l140.webp,https://www.ebay.com/itm/336523756470?_skw=lip_gloss&itmmeta=01KQEGMHT1ZEJHQHBR7AEN1NRS&hash=item4e5a6103b6:g:ONQAAeSwb5xp09Cy&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xDGeP0M9WeIkj7U7LzS%2Bo%2BsvA4JT%2Byt9G2AIdOeeitDVwqib436WHmaKD%2Bn00jUdBeSlVJ2q%2FUk8KErl11IVX%2BUr%2Bjc94vvi1idb6CEOlIL%2B%2FEm%2BjMlsQRl9ccrKExIEEmMuP3p1moU11cYzl1LoE36vQK%2BZITyClca9TDFSjrl2O%2FbMmY8pm2HH%2BiDSiAly4RdRg7zwSdef2f1G98MDmo7BYQamxrahl61lCkJgg5yOA%3D%3D%7Ctkp%3ABlBMUJ6d0tC7Zw,Located in United States,
3,Rhode Peptide Lip Tint | Hydrating Lip Gloss & Moisturizing Balm – All Shades,$11.89,,abi4_1ncj1co,919,Free delivery,95.7,https://i.ebayimg.com/images/g/~i4AAeSwSltptGs5/s-l140.webp,https://www.ebay.com/itm/317999489235?_skw=lip_gloss&itmmeta=01KQEGMHT11KRW0SX1Y25QVEFQ&hash=item4a0a3f20d3:g:~i4AAeSwSltptGs5&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xCOj8Z8IM7W7xtgNFp6A2YZzYK%2BwcJbyveGahc0sZ8iMwW0%2B1qBYUp8fqTjavHkBJFL36ICWDu3AyuwLKKmK28d8u6R%2F5ejaqykO5gjbyYRjiE60jpCXrkMu1%2BDXB%2BHVNoLO%2FtkCQB3TtHt6ibLjVfPkHQVMvQl60UtsdOc2GRPL1y2uq95MY5oJChBXmfYpBrEtb8Ufh4dqsKrvG%2Bispci67NTkqrYuMcV7pySxCc%2F0ez9E%2FcImDV2Q%2FW8lZ2KSDEm%2BSX2ZBEYsf6G8G%2FLuRtx8HPk23Kikaa15ybUCD2OKQ%3D%3D%7Ctkp%3ABFBMnp3S0Ltn,Located in United States,Free returns
4,Jeffree Star Cosmetics Supreme Gloss Lip Gloss Blow My Candles Full Pigment,$10.00,,samaalm_9716,13,+$5.97 delivery,100.0,https://i.ebayimg.com/images/g/YPAAAeSwCmBp8vMb/s-l140.webp,https://www.ebay.com/itm/366378501261?_skw=lip_gloss&itmmeta=01KQEGMHT164PG8TSRDA08HPMJ&hash=item554ddc448d:g:YPAAAeSwCmBp8vMb&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDODHSL37STFQs337Vflr8fJqH%2FcWSz4Br%2BTUElx13LCHlmjhNbhQOzz2Vnov5XxU5SMtrSvHns908ed0vE5nq4db9Xi%2FiBmZaTjZGqRTQoevfVFjBxIM20FCwVbXHPovFAqLd%2BSn4yVUaHpmwVYS598xjVgbzGfw8uLpkc7rnEOokQjhSPMRr%2FTnfoZWJaUldk23z9HY%2BqooUY%2B8oUxDAzOory5yCkzTlfaClAVeGzH5vZ6dA8d0y3ysWn6iHsYqfKHqDN0LTFiPcTrKd7BT2i%7Ctkp%3ABk9SR56d0tC7Zw,Located in United States,
5,SIYIPING Pink Lip Gloss Liquid Makeup Beauty Decorative Gift Bag Included,$8.00,,ye-312471,0,+$6.24 delivery,0.0,https://i.ebayimg.com/images/g/D5kAAeSwp2Jp8nsL/s-l140.webp,https://www.ebay.com/itm/298274064644?_skw=lip_gloss&itmmeta=01KQEGMHT1DQZK7QRTRGP3H96F&hash=item4572850904:g:D5kAAeSwp2Jp8nsL&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xCFRIqXQ1wKdJpRa8eZEVRra3IASf4eFzE1gsEryaIM7WCBtQ14CL3iZxvfckmEMaINZjyLc6TF7fE2GdIFOn91drlgvmnQ0YEjm%2BxT6tDpq8SPQwP04BWovFG%2FZICpakGJ6l%2BvB4sjKet2clcfR3Ht27W%2FUXe%2BBVloQ5U7a0BnW9qYtCS1eckrKyQJVHthxMS--iKsRXZBkUmtwq3fue25nzYXxM1Ku%2FcDqvIRuoEBsNZE2%2FrQL1Wxpc7U0LrA611wvkKpl4rR1B9hfPOyGmEg%7Ctkp%3ABk9SR56d0tC7Zw,Located in United States,
6,Jeffree Star Cosmetics Supreme Gloss Lip Gloss Dominatrix Full Pigment 0.25 fl …,$13.56,,samaalm_9716,13,+$5.97 delivery,100.0,https://i.ebayimg.com/images/g/jNAAAeSwH-dp8vI5/s-l140.webp,https://www.ebay.com/itm/366378498319?_skw=lip_gloss&itmmeta=01KQEGMHT1HY77PBTRKHX4F9HK&hash=item554ddc390f:g:jNAAAeSwH-dp8vI5&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xB%2Bg1UasCoISQRv1UaetFP5k8UVHJBOlG3WAABDFnsNsO0623XihS4q1YBmMCUFnjGWl28q2pMadzxD9QhKyFRObg8qpqGvUwfpOtsvFWyC9VFGp8Rj%2FH6aNnF7s%2F8V1HkrurH11WYCvgtEU2DBWuPquUeo25mmNQLioBwCs6ZGF1LQcFMNjEHeuH%2BQfsIAYnslzlMFejORpNp5Mb2ln%2FsjwDCN1s%2BzyUJ83vhz9V5KI0Nu7s0oJjjRkeqQODiQizo%3D%7Ctkp%3ABk9SR56d0tC7Zw,Located in United States,
7,Rimocoo Pink Red Lip Gloss Liquid Moisturizing Strawberry Flavor Scent Duo,$8.00,,ye-312471,0,+$5.97 delivery,0.0,https://i.ebayimg.com/images/g/nN0AAeSwisJp8n1T/s-l140.webp,https://www.ebay.com/itm/298274077994?_skw=lip_gloss&itmmeta=01KQEGMHT1TKB43Y58QD6ZR7ZJ&hash=item4572853d2a:g:nN0AAeSwisJp8n1T&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xDsPHmj9r3eVCqtOVEiLGpuLpyyYsPMJwkoEBFcNrC6XjoKHYZmLkbnnfwU6GJmz9VJnPscXIPMwq%2FB9tT6uLMgwUdq03DYRQcRL9sKAdEvTyRJOH0BFxHQuJ7ARmlk0JlgDvBE4uql%2FJmidUbk4jHPAU5QIrZhrZM2CFpv4kpVsOwZkZTRzS8mGvSQhIQynOENRaR8dSQ5o9IThNNKivsXSGcdN4Mi1pDvLURn%2BubTtORjCxGEksu4buhuo2CoBR2gwbsVGznidpw0qr3Di%2FO7%7Ctkp%3ABk9SR56d0tC7Zw,Located in United States,
8,"Summer Fridays Dream Lip Oil in Soft Mauve, 0.15 fl oz",$15.00,,michagumi,0,Free delivery,0.0,https://i.ebayimg.com/images/g/~w4AAeSwamJp8uLc/s-l140.webp,https://www.ebay.com/itm/389955520978?_skw=lip_gloss&itmmeta=01KQEGMHT1FCXSYDSGP2RPKT1Y&hash=item5acb2909d2:g:~w4AAeSwamJp8uLc&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xBxjWZkLnQ53F3g%2BvKlgASHgwrPIpD79GzrtJM0fFwz2dlP708961LmHuv7F%2Fx7oVzpBdfvp33WmoSLUwKxGCANmvo8E%2BW2QP7Xjsouh8yfsbUbDWdZ3tvE6bdiIOqF5xcF1M7radQcx0Owksfcx80fJ8nRyrBjvqmK5YXrzxEiwLrULT9c0eMxl9mkGmp8p1Q7NIpSZs3JZljvHWRh1m1UgF91qWt75gcpin2urU6cOqlsPBcAgkXPoGFaTyOMVNg7wXYWuKY36%2FgJyKSM96Pt%7Ctkp%3ABk9SR56d0tC7Zw,Located in United States,
9,Ioni Tinted Lip Oil 3pk Variety ~Sweet Honey| Pink Doll| Plumberry~Hydrating NEW,$13.50,,ma_710399,0,+$5.73 delivery,0.0,https://i.ebayimg.com/images/g/wJQAAeSwi0Vp8pBv/s-l140.webp,https://www.ebay.com/itm/287301883871?_skw=lip_gloss&itmmeta=01KQEGMHT1THT4VXM6Y34BG699&hash=item42e486d7df:g:wJQAAeSwi0Vp8pBv&itmprp=enc%3AAQALAAAA4GfYFPkwiKCW4ZNSs2u11xADvAnHFUw%2BsQ0MitqgCOZPjeX97%2B0nw%2FQxJNjSkOA5E81rysvAgl3cPDK380v1gkQ%2FKfEXkBwzKryLRyOLMS8u7%2BhTRT8yTyX%2FOthMAzHQDaQkx8gIEccGXjhJzRPE3LQ%2FFFZB7EWtCn8ihuy0mSPcN3gyjCO%2FUzI9RTcS05fwOmeTu%2BVA5KL0Mmda5SAaB5Wst06LO1aTktMraxA8H9KYPNSg1--sKr4o1hA9FXLfPxezGEgrQeux0UBEE88hT8Vd60hQDSgn8MqNd%2F7Xn4wS%7Ctkp%3ABk9SR56d0tC7Zw,Located in United States,
